DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2024,2991201,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2015,8584926,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2016,8700471,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2017,8772865,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2018,8822267,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2019,8858775,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2020,8901064,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2021,8932664,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2022,8978929,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2023,9104772,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Austria,2024,9158750,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2015,9593038,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2016,9705643,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2017,9809981,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2018,9898085,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2019,9981457,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2020,10067108,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2021,10119133,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2022,10156366,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2023,10127145,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2024,10180770,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2015,11237274,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2016,11311117,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2017,11351727,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2018,11398589,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2019,11455519,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2020,11522440,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2021,11554767,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2022,11617623,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2023,11742796,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belgium,2024,11817096,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2015,7029690,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2016,6938759,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2017,6849518,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2018,6757418,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2019,6664177,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2020,6569275,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2021,6532117,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2022,6482484,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2023,6447710,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Bulgaria,2024,6445481,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belarus,2015,9480868,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belarus,2016,9498364,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belarus,2017,9504704,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belarus,2018,9491823,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Belarus,2019,9475174,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2015,8237666,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2016,8327126,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2017,8419550,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2018,8484130,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2019,8544527,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2020,8606033,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2021,8670300,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2022,8738791,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2023,8815385,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Switzerland,2024,8962258,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2015,860846,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2016,863764,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2017,869878,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2018,878601,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2019,890194,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2020,902429,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2021,914476,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2022,929764,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2023,949084,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Cyprus,2024,966365,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2015,10538275,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2016,10553843,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2017,10578820,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2018,10610055,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2019,10649800,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2020,10693939,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2021,10494836,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2022,10516707,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2023,10827529,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Czechia,2024,10900555,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2015,81197537,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2016,82175684,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2017,82521653,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2018,82792351,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2019,83019213,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2020,83166711,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2021,83155031,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2022,83237124,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2023,83118501,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Germany,2024,83456045,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2015,5659715,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2016,5707251,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2017,5748769,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2018,5781190,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2019,5806081,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2020,5822763,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2021,5840045,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2022,5873420,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2023,5932654,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Denmark,2024,5961249,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2015,1314870,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2016,1315944,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2017,1315635,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2018,1319133,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2019,1324820,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2020,1328976,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2021,1330068,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2022,1331796,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2023,1365884,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Estonia,2024,1374687,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2015,10858018,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2016,10783748,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2017,10768193,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2018,10741165,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2019,10724599,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2020,10718565,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2021,10678632,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2022,10459782,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2023,10413982,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Greece,2024,10400720,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2015,46425722,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2016,46418884,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2017,46497393,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2018,46645070,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2019,46918951,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2020,47318050,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2021,47400798,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2022,47486843,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2023,48085361,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Spain,2024,48619695,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2015,5471753,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2016,5487308,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2017,5503297,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2018,5513130,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2019,5517919,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2020,5525292,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2021,5533793,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2022,5548241,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2023,5563970,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Finland,2024,5603851,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2015,66458153,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2016,66638391,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2017,66809816,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2018,67026224,p,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2019,67290471,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2020,67473651,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2021,67728568,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2022,68091703,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2023,68277210,p,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,France,2024,68467362,p,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2015,3729500,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2016,3720400,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2017,3718200,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2018,3729633,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2019,3723464,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2020,3716858,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2021,3728573,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2022,3688647,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2023,3736357,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Georgia,2024,3694608,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2015,4180915,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2016,4131115,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2017,4078769,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2018,4014341,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2019,3968676,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2020,3933511,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2021,3893026,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2022,3862305,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2023,3850894,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Croatia,2024,3861967,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2015,9815858,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2016,9779652,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2017,9739857,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2018,9713655,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2019,9700272,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2020,9689376,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2021,9651461,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2022,9610403,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2023,9599744,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Hungary,2024,9584627,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2015,4677627,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2016,4726286,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2017,4799157,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2018,4855733,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2019,4940311,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2020,5012600,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2021,5066893,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2022,5154277,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2023,5271395,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Ireland,2024,5351681,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2015,329100,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2016,332529,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2017,338349,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2018,348450,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2019,356991,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2020,364134,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2021,368792,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2022,376248,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2023,387758,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Iceland,2024,383567,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2015,60295497,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2016,60163712,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2017,60066734,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2018,59937769,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2019,59816673,b,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2020,59641488,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2021,59236213,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2022,59030133,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2023,58997201,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Italy,2024,58971230,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2015,37366,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2016,37622,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2017,37810,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2018,38114,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2019,38378,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2020,38747,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2021,39055,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2022,39308,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2023,39677,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Liechtenstein,2024,40015,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Lithuania,2015,2926644,,
