survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
primary care syndromic,Belgium,BE,2024-W15,2024-04-14,ARIconsultationrate,15-64,883.4
primary care syndromic,Belgium,BE,2024-W15,2024-04-14,ARIconsultationrate,5-14,945.7
primary care syndromic,Belgium,BE,2024-W15,2024-04-14,ARIconsultationrate,65+,644.5
primary care syndromic,Belgium,BE,2024-W15,2024-04-14,ARIconsultationrate,total,893.5
primary care syndromic,Belgium,BE,2024-W14,2024-04-07,ARIconsultationrate,0-4,2090.4
primary care syndromic,Belgium,BE,2024-W14,2024-04-07,ARIconsultationrate,15-64,845.1
primary care syndromic,Belgium,BE,2024-W14,2024-04-07,ARIconsultationrate,5-14,1484.3
primary care syndromic,Belgium,BE,2024-W14,2024-04-07,ARIconsultationrate,65+,662.2
primary care syndromic,Belgium,BE,2024-W14,2024-04-07,ARIconsultationrate,total,948.2
primary care syndromic,Belgium,BE,2024-W13,2024-03-31,ARIconsultationrate,0-4,3592.8
primary care syndromic,Belgium,BE,2024-W13,2024-03-31,ARIconsultationrate,15-64,993.4
primary care syndromic,Belgium,BE,2024-W13,2024-03-31,ARIconsultationrate,5-14,1812.8
primary care syndromic,Belgium,BE,2024-W13,2024-03-31,ARIconsultationrate,65+,751.3
primary care syndromic,Belgium,BE,2024-W13,2024-03-31,ARIconsultationrate,total,1176.3
primary care syndromic,Belgium,BE,2024-W12,2024-03-24,ARIconsultationrate,0-4,2495.9
primary care syndromic,Belgium,BE,2024-W12,2024-03-24,ARIconsultationrate,15-64,989.6
primary care syndromic,Belgium,BE,2024-W12,2024-03-24,ARIconsultationrate,5-14,1556.6
primary care syndromic,Belgium,BE,2024-W12,2024-03-24,ARIconsultationrate,65+,665.3
primary care syndromic,Belgium,BE,2024-W12,2024-03-24,ARIconsultationrate,total,1071.3
primary care syndromic,Belgium,BE,2024-W11,2024-03-17,ARIconsultationrate,0-4,2966.2
primary care syndromic,Belgium,BE,2024-W11,2024-03-17,ARIconsultationrate,15-64,927.8
primary care syndromic,Belgium,BE,2024-W11,2024-03-17,ARIconsultationrate,5-14,1553.8
primary care syndromic,Belgium,BE,2024-W11,2024-03-17,ARIconsultationrate,65+,498.1
primary care syndromic,Belgium,BE,2024-W11,2024-03-17,ARIconsultationrate,total,1020.9
primary care syndromic,Belgium,BE,2024-W10,2024-03-10,ARIconsultationrate,0-4,3625.7
primary care syndromic,Belgium,BE,2024-W10,2024-03-10,ARIconsultationrate,15-64,999.0
primary care syndromic,Belgium,BE,2024-W10,2024-03-10,ARIconsultationrate,5-14,1573.5
primary care syndromic,Belgium,BE,2024-W10,2024-03-10,ARIconsultationrate,65+,918.5
primary care syndromic,Belgium,BE,2024-W10,2024-03-10,ARIconsultationrate,total,1185.3
primary care syndromic,Belgium,BE,2024-W09,2024-03-03,ARIconsultationrate,0-4,3111.1
primary care syndromic,Belgium,BE,2024-W09,2024-03-03,ARIconsultationrate,15-64,998.5
primary care syndromic,Belgium,BE,2024-W09,2024-03-03,ARIconsultationrate,5-14,1621.2
primary care syndromic,Belgium,BE,2024-W09,2024-03-03,ARIconsultationrate,65+,940.6
primary care syndromic,Belgium,BE,2024-W09,2024-03-03,ARIconsultationrate,total,1167.1
primary care syndromic,Belgium,BE,2024-W08,2024-02-25,ARIconsultationrate,0-4,3639.5
primary care syndromic,Belgium,BE,2024-W08,2024-02-25,ARIconsultationrate,15-64,1340.4
primary care syndromic,Belgium,BE,2024-W08,2024-02-25,ARIconsultationrate,5-14,2474.5
primary care syndromic,Belgium,BE,2024-W08,2024-02-25,ARIconsultationrate,65+,935.9
primary care syndromic,Belgium,BE,2024-W08,2024-02-25,ARIconsultationrate,total,1512.2
primary care syndromic,Belgium,BE,2024-W07,2024-02-18,ARIconsultationrate,0-4,3977.3
primary care syndromic,Belgium,BE,2024-W07,2024-02-18,ARIconsultationrate,15-64,1108.5
primary care syndromic,Belgium,BE,2024-W07,2024-02-18,ARIconsultationrate,5-14,1673.4
primary care syndromic,Belgium,BE,2024-W07,2024-02-18,ARIconsultationrate,65+,974.0
primary care syndromic,Belgium,BE,2024-W07,2024-02-18,ARIconsultationrate,total,1296.2
primary care syndromic,Belgium,BE,2024-W06,2024-02-11,ARIconsultationrate,0-4,4439.7
primary care syndromic,Belgium,BE,2024-W06,2024-02-11,ARIconsultationrate,15-64,1409.1
primary care syndromic,Belgium,BE,2024-W06,2024-02-11,ARIconsultationrate,5-14,2287.7
primary care syndromic,Belgium,BE,2024-W06,2024-02-11,ARIconsultationrate,65+,990.2
primary care syndromic,Belgium,BE,2024-W06,2024-02-11,ARIconsultationrate,total,1584.2
primary care syndromic,Belgium,BE,2024-W05,2024-02-04,ARIconsultationrate,0-4,5162.7
primary care syndromic,Belgium,BE,2024-W05,2024-02-04,ARIconsultationrate,15-64,1742.8
primary care syndromic,Belgium,BE,2024-W05,2024-02-04,ARIconsultationrate,5-14,3445.6
primary care syndromic,Belgium,BE,2024-W05,2024-02-04,ARIconsultationrate,65+,1338.3
primary care syndromic,Belgium,BE,2024-W05,2024-02-04,ARIconsultationrate,total,2033.2
primary care syndromic,Belgium,BE,2024-W04,2024-01-28,ARIconsultationrate,0-4,4214.2
primary care syndromic,Belgium,BE,2024-W04,2024-01-28,ARIconsultationrate,15-64,1576.7
primary care syndromic,Belgium,BE,2024-W04,2024-01-28,ARIconsultationrate,5-14,3043.3
primary care syndromic,Belgium,BE,2024-W04,2024-01-28,ARIconsultationrate,65+,1169.5
primary care syndromic,Belgium,BE,2024-W04,2024-01-28,ARIconsultationrate,total,1800.4
primary care syndromic,Belgium,BE,2024-W03,2024-01-21,ARIconsultationrate,0-4,3669.1
primary care syndromic,Belgium,BE,2024-W03,2024-01-21,ARIconsultationrate,15-64,1285.6
primary care syndromic,Belgium,BE,2024-W03,2024-01-21,ARIconsultationrate,5-14,2114.7
primary care syndromic,Belgium,BE,2024-W03,2024-01-21,ARIconsultationrate,65+,1108.7
primary care syndromic,Belgium,BE,2024-W03,2024-01-21,ARIconsultationrate,total,1470.7
primary care syndromic,Belgium,BE,2024-W02,2024-01-14,ARIconsultationrate,0-4,3067.5
primary care syndromic,Belgium,BE,2024-W02,2024-01-14,ARIconsultationrate,15-64,1186.3
primary care syndromic,Belgium,BE,2024-W02,2024-01-14,ARIconsultationrate,5-14,1842.5
primary care syndromic,Belgium,BE,2024-W02,2024-01-14,ARIconsultationrate,65+,910.0
primary care syndromic,Belgium,BE,2024-W02,2024-01-14,ARIconsultationrate,total,1306.2
primary care syndromic,Belgium,BE,2024-W01,2024-01-07,ARIconsultationrate,0-4,2273.5
primary care syndromic,Belgium,BE,2024-W01,2024-01-07,ARIconsultationrate,15-64,1136.0
primary care syndromic,Belgium,BE,2024-W01,2024-01-07,ARIconsultationrate,5-14,1492.8
primary care syndromic,Belgium,BE,2024-W01,2024-01-07,ARIconsultationrate,65+,908.4
primary care syndromic,Belgium,BE,2024-W01,2024-01-07,ARIconsultationrate,total,1193.1
primary care syndromic,Belgium,BE,2023-W52,2023-12-31,ARIconsultationrate,0-4,4511.3
primary care syndromic,Belgium,BE,2023-W52,2023-12-31,ARIconsultationrate,15-64,1223.1
primary care syndromic,Belgium,BE,2023-W52,2023-12-31,ARIconsultationrate,5-14,2089.4
primary care syndromic,Belgium,BE,2023-W52,2023-12-31,ARIconsultationrate,65+,1289.6
primary care syndromic,Belgium,BE,2023-W52,2023-12-31,ARIconsultationrate,total,1505.9
primary care syndromic,Belgium,BE,2023-W51,2023-12-24,ARIconsultationrate,0-4,4735.9
primary care syndromic,Belgium,BE,2023-W51,2023-12-24,ARIconsultationrate,15-64,1502.9
primary care syndromic,Belgium,BE,2023-W51,2023-12-24,ARIconsultationrate,5-14,2631.6
primary care syndromic,Belgium,BE,2023-W51,2023-12-24,ARIconsultationrate,65+,1339.5
primary care syndromic,Belgium,BE,2023-W51,2023-12-24,ARIconsultationrate,total,1765.8
primary care syndromic,Belgium,BE,2023-W50,2023-12-17,ARIconsultationrate,0-4,4223.6
primary care syndromic,Belgium,BE,2023-W50,2023-12-17,ARIconsultationrate,15-64,1473.0
primary care syndromic,Belgium,BE,2023-W50,2023-12-17,ARIconsultationrate,5-14,2407.9
primary care syndromic,Belgium,BE,2023-W50,2023-12-17,ARIconsultationrate,65+,1197.9
primary care syndromic,Belgium,BE,2023-W50,2023-12-17,ARIconsultationrate,total,1668.5
primary care syndromic,Belgium,BE,2023-W49,2023-12-10,ARIconsultationrate,0-4,3664.3
primary care syndromic,Belgium,BE,2023-W49,2023-12-10,ARIconsultationrate,15-64,1558.8
primary care syndromic,Belgium,BE,2023-W49,2023-12-10,ARIconsultationrate,5-14,2605.0
primary care syndromic,Belgium,BE,2023-W49,2023-12-10,ARIconsultationrate,65+,1188.1
primary care syndromic,Belgium,BE,2023-W49,2023-12-10,ARIconsultationrate,total,1715.7
primary care syndromic,Belgium,BE,2023-W48,2023-12-03,ARIconsultationrate,0-4,2925.4
primary care syndromic,Belgium,BE,2023-W48,2023-12-03,ARIconsultationrate,15-64,1307.0
primary care syndromic,Belgium,BE,2023-W48,2023-12-03,ARIconsultationrate,5-14,2943.7
primary care syndromic,Belgium,BE,2023-W48,2023-12-03,ARIconsultationrate,65+,1074.1
primary care syndromic,Belgium,BE,2023-W48,2023-12-03,ARIconsultationrate,total,1534.4
primary care syndromic,Belgium,BE,2023-W47,2023-11-26,ARIconsultationrate,0-4,3332.3
primary care syndromic,Belgium,BE,2023-W47,2023-11-26,ARIconsultationrate,15-64,1223.9
primary care syndromic,Belgium,BE,2023-W47,2023-11-26,ARIconsultationrate,5-14,1815.6
primary care syndromic,Belgium,BE,2023-W47,2023-11-26,ARIconsultationrate,65+,762.7
primary care syndromic,Belgium,BE,2023-W47,2023-11-26,ARIconsultationrate,total,1313.0
primary care syndromic,Belgium,BE,2023-W46,2023-11-19,ARIconsultationrate,0-4,3729.1
primary care syndromic,Belgium,BE,2023-W46,2023-11-19,ARIconsultationrate,15-64,1016.7
primary care syndromic,Belgium,BE,2023-W46,2023-11-19,ARIconsultationrate,5-14,2107.6
primary care syndromic,Belgium,BE,2023-W46,2023-11-19,ARIconsultationrate,65+,725.1
primary care syndromic,Belgium,BE,2023-W46,2023-11-19,ARIconsultationrate,total,1222.1
primary care syndromic,Belgium,BE,2023-W45,2023-11-12,ARIconsultationrate,0-4,5128.2
primary care syndromic,Belgium,BE,2023-W45,2023-11-12,ARIconsultationrate,15-64,1326.1
primary care syndromic,Belgium,BE,2023-W45,2023-11-12,ARIconsultationrate,5-14,2134.3
primary care syndromic,Belgium,BE,2023-W45,2023-11-12,ARIconsultationrate,65+,915.9
primary care syndromic,Belgium,BE,2023-W45,2023-11-12,ARIconsultationrate,total,1532.3
primary care syndromic,Belgium,BE,2023-W44,2023-11-05,ARIconsultationrate,0-4,3635.6
primary care syndromic,Belgium,BE,2023-W44,2023-11-05,ARIconsultationrate,15-64,841.0
primary care syndromic,Belgium,BE,2023-W44,2023-11-05,ARIconsultationrate,5-14,889.0
primary care syndromic,Belgium,BE,2023-W44,2023-11-05,ARIconsultationrate,65+,861.2
primary care syndromic,Belgium,BE,2023-W44,2023-11-05,ARIconsultationrate,total,990.6
primary care syndromic,Belgium,BE,2023-W43,2023-10-29,ARIconsultationrate,0-4,4477.6
primary care syndromic,Belgium,BE,2023-W43,2023-10-29,ARIconsultationrate,15-64,918.1
primary care syndromic,Belgium,BE,2023-W43,2023-10-29,ARIconsultationrate,5-14,1679.4
primary care syndromic,Belgium,BE,2023-W43,2023-10-29,ARIconsultationrate,65+,600.7
primary care syndromic,Belgium,BE,2023-W43,2023-10-29,ARIconsultationrate,total,1118.2
primary care syndromic,Belgium,BE,2023-W42,2023-10-22,ARIconsultationrate,0-4,4284.2
primary care syndromic,Belgium,BE,2023-W42,2023-10-22,ARIconsultationrate,15-64,1086.3
primary care syndromic,Belgium,BE,2023-W42,2023-10-22,ARIconsultationrate,5-14,1925.2
primary care syndromic,Belgium,BE,2023-W42,2023-10-22,ARIconsultationrate,65+,830.1
primary care syndromic,Belgium,BE,2023-W42,2023-10-22,ARIconsultationrate,total,1291.1
primary care syndromic,Belgium,BE,2023-W41,2023-10-15,ARIconsultationrate,0-4,3170.8
primary care syndromic,Belgium,BE,2023-W41,2023-10-15,ARIconsultationrate,15-64,1105.5
primary care syndromic,Belgium,BE,2023-W41,2023-10-15,ARIconsultationrate,5-14,1505.5
primary care syndromic,Belgium,BE,2023-W41,2023-10-15,ARIconsultationrate,65+,720.6
primary care syndromic,Belgium,BE,2023-W41,2023-10-15,ARIconsultationrate,total,1182.7
primary care syndromic,Belgium,BE,2023-W40,2023-10-08,ARIconsultationrate,0-4,4004.2
primary care syndromic,Belgium,BE,2023-W40,2023-10-08,ARIconsultationrate,15-64,1134.5
primary care syndromic,Belgium,BE,2023-W40,2023-10-08,ARIconsultationrate,5-14,1670.6
primary care syndromic,Belgium,BE,2023-W40,2023-10-08,ARIconsultationrate,65+,713.2
primary care syndromic,Belgium,BE,2023-W40,2023-10-08,ARIconsultationrate,total,1258.3
primary care syndromic,Belgium,BE,2023-W39,2023-10-01,ARIconsultationrate,0-4,3839.7
primary care syndromic,Belgium,BE,2023-W39,2023-10-01,ARIconsultationrate,15-64,1044.4
primary care syndromic,Belgium,BE,2023-W39,2023-10-01,ARIconsultationrate,5-14,2101.8
primary care syndromic,Belgium,BE,2023-W39,2023-10-01,ARIconsultationrate,65+,665.3
primary care syndromic,Belgium,BE,2023-W39,2023-10-01,ARIconsultationrate,total,1233.6
primary care syndromic,Belgium,BE,2023-W38,2023-09-24,ARIconsultationrate,0-4,2753.6
primary care syndromic,Belgium,BE,2023-W38,2023-09-24,ARIconsultationrate,15-64,938.2
primary care syndromic,Belgium,BE,2023-W38,2023-09-24,ARIconsultationrate,5-14,1355.5
primary care syndromic,Belgium,BE,2023-W38,2023-09-24,ARIconsultationrate,65+,421.9
primary care syndromic,Belgium,BE,2023-W38,2023-09-24,ARIconsultationrate,total,979.3
primary care syndromic,Belgium,BE,2023-W37,2023-09-17,ARIconsultationrate,0-4,2387.2
primary care syndromic,Belgium,BE,2023-W37,2023-09-17,ARIconsultationrate,15-64,735.9
primary care syndromic,Belgium,BE,2023-W37,2023-09-17,ARIconsultationrate,5-14,867.7
primary care syndromic,Belgium,BE,2023-W37,2023-09-17,ARIconsultationrate,65+,378.6
primary care syndromic,Belgium,BE,2023-W37,2023-09-17,ARIconsultationrate,total,767.2
primary care syndromic,Belgium,BE,2023-W36,2023-09-10,ARIconsultationrate,0-4,2663.0
primary care syndromic,Belgium,BE,2023-W36,2023-09-10,ARIconsultationrate,15-64,733.6
primary care syndromic,Belgium,BE,2023-W36,2023-09-10,ARIconsultationrate,5-14,1082.7
primary care syndromic,Belgium,BE,2023-W36,2023-09-10,ARIconsultationrate,65+,354.2
primary care syndromic,Belgium,BE,2023-W36,2023-09-10,ARIconsultationrate,total,801.3
primary care syndromic,Belgium,BE,2023-W35,2023-09-03,ARIconsultationrate,0-4,1139.6
primary care syndromic,Belgium,BE,2023-W35,2023-09-03,ARIconsultationrate,15-64,653.2
primary care syndromic,Belgium,BE,2023-W35,2023-09-03,ARIconsultationrate,5-14,684.4
primary care syndromic,Belgium,BE,2023-W35,2023-09-03,ARIconsultationrate,65+,456.8
primary care syndromic,Belgium,BE,2023-W35,2023-09-03,ARIconsultationrate,total,644.0
primary care syndromic,Belgium,BE,2023-W34,2023-08-27,ARIconsultationrate,0-4,1691.0
primary care syndromic,Belgium,BE,2023-W34,2023-08-27,ARIconsultationrate,15-64,538.7
primary care syndromic,Belgium,BE,2023-W34,2023-08-27,ARIconsultationrate,5-14,409.2
primary care syndromic,Belgium,BE,2023-W34,2023-08-27,ARIconsultationrate,65+,290.2
primary care syndromic,Belgium,BE,2023-W34,2023-08-27,ARIconsultationrate,total,532.8
primary care syndromic,Belgium,BE,2023-W33,2023-08-20,ARIconsultationrate,0-4,1460.6
primary care syndromic,Belgium,BE,2023-W33,2023-08-20,ARIconsultationrate,15-64,439.9
primary care syndromic,Belgium,BE,2023-W33,2023-08-20,ARIconsultationrate,5-14,326.9
primary care syndromic,Belgium,BE,2023-W33,2023-08-20,ARIconsultationrate,65+,380.7
primary care syndromic,Belgium,BE,2023-W33,2023-08-20,ARIconsultationrate,total,467.5
primary care syndromic,Belgium,BE,2023-W32,2023-08-13,ARIconsultationrate,0-4,1609.9
primary care syndromic,Belgium,BE,2023-W32,2023-08-13,ARIconsultationrate,15-64,425.9
primary care syndromic,Belgium,BE,2023-W32,2023-08-13,ARIconsultationrate,5-14,571.8
primary care syndromic,Belgium,BE,2023-W32,2023-08-13,ARIconsultationrate,65+,292.9
primary care syndromic,Belgium,BE,2023-W32,2023-08-13,ARIconsultationrate,total,476.2
primary care syndromic,Belgium,BE,2023-W31,2023-08-06,ARIconsultationrate,0-4,1473.6
primary care syndromic,Belgium,BE,2023-W31,2023-08-06,ARIconsultationrate,15-64,463.1
primary care syndromic,Belgium,BE,2023-W31,2023-08-06,ARIconsultationrate,5-14,415.5
primary care syndromic,Belgium,BE,2023-W31,2023-08-06,ARIconsultationrate,65+,443.3
primary care syndromic,Belgium,BE,2023-W31,2023-08-06,ARIconsultationrate,total,504.3
primary care syndromic,Belgium,BE,2023-W30,2023-07-30,ARIconsultationrate,0-4,1246.3
primary care syndromic,Belgium,BE,2023-W30,2023-07-30,ARIconsultationrate,15-64,475.6
primary care syndromic,Belgium,BE,2023-W30,2023-07-30,ARIconsultationrate,5-14,491.0
primary care syndromic,Belgium,BE,2023-W30,2023-07-30,ARIconsultationrate,65+,385.5
primary care syndromic,Belgium,BE,2023-W30,2023-07-30,ARIconsultationrate,total,499.7
primary care syndromic,Belgium,BE,2023-W29,2023-07-23,ARIconsultationrate,0-4,1148.4
primary care syndromic,Belgium,BE,2023-W29,2023-07-23,ARIconsultationrate,15-64,403.3
primary care syndromic,Belgium,BE,2023-W29,2023-07-23,ARIconsultationrate,5-14,555.1
primary care syndromic,Belgium,BE,2023-W29,2023-07-23,ARIconsultationrate,65+,267.2
primary care syndromic,Belgium,BE,2023-W29,2023-07-23,ARIconsultationrate,total,432.6
primary care syndromic,Belgium,BE,2023-W28,2023-07-16,ARIconsultationrate,0-4,2119.4
primary care syndromic,Belgium,BE,2023-W28,2023-07-16,ARIconsultationrate,15-64,459.2
primary care syndromic,Belgium,BE,2023-W28,2023-07-16,ARIconsultationrate,5-14,640.3
primary care syndromic,Belgium,BE,2023-W28,2023-07-16,ARIconsultationrate,65+,349.7
primary care syndromic,Belgium,BE,2023-W28,2023-07-16,ARIconsultationrate,total,545.2
primary care syndromic,Belgium,BE,2023-W27,2023-07-09,ARIconsultationrate,0-4,2060.2
primary care syndromic,Belgium,BE,2023-W27,2023-07-09,ARIconsultationrate,15-64,486.4
primary care syndromic,Belgium,BE,2023-W27,2023-07-09,ARIconsultationrate,5-14,459.6
primary care syndromic,Belgium,BE,2023-W27,2023-07-09,ARIconsultationrate,65+,246.6
primary care syndromic,Belgium,BE,2023-W27,2023-07-09,ARIconsultationrate,total,519.3
primary care syndromic,Belgium,BE,2023-W26,2023-07-02,ARIconsultationrate,0-4,1647.7
primary care syndromic,Belgium,BE,2023-W26,2023-07-02,ARIconsultationrate,15-64,468.4
primary care syndromic,Belgium,BE,2023-W26,2023-07-02,ARIconsultationrate,5-14,710.5
primary care syndromic,Belgium,BE,2023-W26,2023-07-02,ARIconsultationrate,65+,476.6
primary care syndromic,Belgium,BE,2023-W26,2023-07-02,ARIconsultationrate,total,557.6
primary care syndromic,Belgium,BE,2023-W25,2023-06-25,ARIconsultationrate,0-4,1899.4
primary care syndromic,Belgium,BE,2023-W25,2023-06-25,ARIconsultationrate,15-64,453.9
primary care syndromic,Belgium,BE,2023-W25,2023-06-25,ARIconsultationrate,5-14,533.1
primary care syndromic,Belgium,BE,2023-W25,2023-06-25,ARIconsultationrate,65+,391.8
primary care syndromic,Belgium,BE,2023-W25,2023-06-25,ARIconsultationrate,total,525.9
primary care syndromic,Belgium,BE,2023-W24,2023-06-18,ARIconsultationrate,0-4,1584.8
primary care syndromic,Belgium,BE,2023-W24,2023-06-18,ARIconsultationrate,15-64,459.6
primary care syndromic,Belgium,BE,2023-W24,2023-06-18,ARIconsultationrate,5-14,743.9
primary care syndromic,Belgium,BE,2023-W24,2023-06-18,ARIconsultationrate,65+,266.7
primary care syndromic,Belgium,BE,2023-W24,2023-06-18,ARIconsultationrate,total,514.9
primary care syndromic,Belgium,BE,2023-W23,2023-06-11,ARIconsultationrate,0-4,2187.1
primary care syndromic,Belgium,BE,2023-W23,2023-06-11,ARIconsultationrate,15-64,602.2
primary care syndromic,Belgium,BE,2023-W23,2023-06-11,ARIconsultationrate,5-14,792.5
primary care syndromic,Belgium,BE,2023-W23,2023-06-11,ARIconsultationrate,65+,630.8
primary care syndromic,Belgium,BE,2023-W23,2023-06-11,ARIconsultationrate,total,710.2
primary care syndromic,Belgium,BE,2023-W22,2023-06-04,ARIconsultationrate,0-4,1393.5
primary care syndromic,Belgium,BE,2023-W22,2023-06-04,ARIconsultationrate,15-64,435.4
primary care syndromic,Belgium,BE,2023-W22,2023-06-04,ARIconsultationrate,5-14,474.9
primary care syndromic,Belgium,BE,2023-W22,2023-06-04,ARIconsultationrate,65+,457.3
primary care syndromic,Belgium,BE,2023-W22,2023-06-04,ARIconsultationrate,total,493.4
primary care syndromic,Belgium,BE,2023-W21,2023-05-28,ARIconsultationrate,0-4,2242.2
primary care syndromic,Belgium,BE,2023-W21,2023-05-28,ARIconsultationrate,15-64,800.6
primary care syndromic,Belgium,BE,2023-W21,2023-05-28,ARIconsultationrate,5-14,1116.5
primary care syndromic,Belgium,BE,2023-W21,2023-05-28,ARIconsultationrate,65+,724.1
primary care syndromic,Belgium,BE,2023-W21,2023-05-28,ARIconsultationrate,total,893.2
primary care syndromic,Belgium,BE,2023-W20,2023-05-21,ARIconsultationrate,0-4,1817.4
primary care syndromic,Belgium,BE,2023-W20,2023-05-21,ARIconsultationrate,15-64,635.4
primary care syndromic,Belgium,BE,2023-W20,2023-05-21,ARIconsultationrate,5-14,794.7
primary care syndromic,Belgium,BE,2023-W20,2023-05-21,ARIconsultationrate,65+,478.4
primary care syndromic,Belgium,BE,2023-W20,2023-05-21,ARIconsultationrate,total,685.0
primary care syndromic,Belgium,BE,2023-W19,2023-05-14,ARIconsultationrate,0-4,1806.8
primary care syndromic,Belgium,BE,2023-W19,2023-05-14,ARIconsultationrate,15-64,836.8
primary care syndromic,Belgium,BE,2023-W19,2023-05-14,ARIconsultationrate,5-14,804.7
primary care syndromic,Belgium,BE,2023-W19,2023-05-14,ARIconsultationrate,65+,557.9
primary care syndromic,Belgium,BE,2023-W19,2023-05-14,ARIconsultationrate,total,827.7
primary care syndromic,Belgium,BE,2023-W18,2023-05-07,ARIconsultationrate,0-4,1880.8
primary care syndromic,Belgium,BE,2023-W18,2023-05-07,ARIconsultationrate,15-64,613.9
primary care syndromic,Belgium,BE,2023-W18,2023-05-07,ARIconsultationrate,5-14,715.4
primary care syndromic,Belgium,BE,2023-W18,2023-05-07,ARIconsultationrate,65+,585.9
primary care syndromic,Belgium,BE,2023-W18,2023-05-07,ARIconsultationrate,total,685.3
primary care syndromic,Belgium,BE,2023-W17,2023-04-30,ARIconsultationrate,0-4,1890.5
primary care syndromic,Belgium,BE,2023-W17,2023-04-30,ARIconsultationrate,15-64,680.2
primary care syndromic,Belgium,BE,2023-W17,2023-04-30,ARIconsultationrate,5-14,724.3
primary care syndromic,Belgium,BE,2023-W17,2023-04-30,ARIconsultationrate,65+,680.8
primary care syndromic,Belgium,BE,2023-W17,2023-04-30,ARIconsultationrate,total,748.9
primary care syndromic,Belgium,BE,2023-W16,2023-04-23,ARIconsultationrate,0-4,1670.8
primary care syndromic,Belgium,BE,2023-W16,2023-04-23,ARIconsultationrate,15-64,959.4
primary care syndromic,Belgium,BE,2023-W16,2023-04-23,ARIconsultationrate,5-14,1075.1
primary care syndromic,Belgium,BE,2023-W16,2023-04-23,ARIconsultationrate,65+,626.4
primary care syndromic,Belgium,BE,2023-W16,2023-04-23,ARIconsultationrate,total,941.3
primary care syndromic,Belgium,BE,2023-W15,2023-04-16,ARIconsultationrate,0-4,1314.7
primary care syndromic,Belgium,BE,2023-W15,2023-04-16,ARIconsultationrate,15-64,685.7
primary care syndromic,Belgium,BE,2023-W15,2023-04-16,ARIconsultationrate,5-14,751.7
primary care syndromic,Belgium,BE,2023-W15,2023-04-16,ARIconsultationrate,65+,559.3
primary care syndromic,Belgium,BE,2023-W15,2023-04-16,ARIconsultationrate,total,699.8
primary care syndromic,Belgium,BE,2023-W14,2023-04-09,ARIconsultationrate,0-4,2176.5
primary care syndromic,Belgium,BE,2023-W14,2023-04-09,ARIconsultationrate,15-64,679.7
