country,age_group,median_hosp_rate,lower_hosp_rate,upper_hosp_rate
Bulgaria,12-35mo,5.5,4.5,6.6
Croatia,12-35mo,4.8,3.8,5.8
Cyprus,12-35mo,5.5,4.5,6.5
Czechia,12-35mo,5.7,4.6,6.7
Denmark,12-35mo,7.5,6.4,8.5
Estonia,12-35mo,5.1,4.0,6.1
Finland,12-35mo,5.2,4.2,6.3
France,12-35mo,5.0,4.0,6.1
Germany,12-35mo,5.2,4.2,6.3
Greece,12-35mo,4.5,3.4,5.5
Hungary,12-35mo,5.4,4.4,6.4
Ireland,12-35mo,7.1,6.0,8.1
Italy,12-35mo,4.3,3.2,5.3
Latvia,12-35mo,4.6,3.6,5.7
Lithuania,12-35mo,4.0,3.0,5.0
Luxembourg,12-35mo,5.0,4.0,6.1
Malta,12-35mo,5.4,4.4,6.5
Netherlands,12-35mo,1.9,0.8,2.9
Norway,12-35mo,6.6,5.6,7.7
Poland,12-35mo,4.6,3.5,5.6
Portugal,12-35mo,4.5,3.4,5.5
Romania,12-35mo,4.1,3.1,5.2
Slovakia,12-35mo,4.7,3.7,5.8
Slovenia,12-35mo,5.2,4.2,6.2
Spain,12-35mo,3.0,2.0,4.1
Sweden,12-35mo,5.3,4.3,6.3
United Kingdom,12-35mo,6.1,4.4,7.9
Austria,36-59mo,0.9,0.7,1.1
Belgium,36-59mo,1.2,0.9,1.4
Bulgaria,36-59mo,1.0,0.8,1.2
Croatia,36-59mo,0.9,0.7,1.1
Cyprus,36-59mo,0.9,0.7,1.1
Czechia,36-59mo,1.1,0.9,1.3
Denmark,36-59mo,1.6,1.4,1.8
Estonia,36-59mo,1.0,0.8,1.2
Finland,36-59mo,0.8,0.6,1.0
France,36-59mo,1.1,0.9,1.3
Germany,36-59mo,1.0,0.8,1.2
Greece,36-59mo,0.9,0.7,1.1
Hungary,36-59mo,1.1,0.9,1.3
Ireland,36-59mo,1.3,1.0,1.5
Italy,36-59mo,0.9,0.7,1.1
Latvia,36-59mo,1.1,0.8,1.3
Lithuania,36-59mo,0.9,0.7,1.1
Luxembourg,36-59mo,0.9,0.7,1.1
Malta,36-59mo,1.3,1.1,1.5
Netherlands,36-59mo,1.1,0.9,1.3
Norway,36-59mo,0.5,0.3,0.7
Poland,36-59mo,0.9,0.7,1.1
Portugal,36-59mo,1.2,0.9,1.4
Romania,36-59mo,1.0,0.8,1.2
Slovakia,36-59mo,0.8,0.6,1.0
Slovenia,36-59mo,1.1,0.9,1.3
Spain,36-59mo,0.8,0.6,1.0
Sweden,36-59mo,1.2,1.0,1.4
United Kingdom,36-59mo,1.3,1.0,1.6
Austria,5-17y,0.04,0.02,0.05
Belgium,5-17y,0.05,0.04,0.06
Bulgaria,5-17y,0.05,0.03,0.06
Croatia,5-17y,0.04,0.02,0.05
Cyprus,5-17y,0.06,0.05,0.07
Czechia,5-17y,0.04,0.03,0.06
Denmark,5-17y,0.04,0.03,0.05
Estonia,5-17y,0.04,0.03,0.05
Finland,5-17y,0.01,0.0,0.02
France,5-17y,0.04,0.03,0.06
Germany,5-17y,0.03,0.01,0.04
Greece,5-17y,0.04,0.02,0.05
Hungary,5-17y,0.04,0.03,0.05
Ireland,5-17y,0.07,0.06,0.09
Italy,5-17y,0.04,0.02,0.05
Latvia,5-17y,0.03,0.02,0.05
Lithuania,5-17y,0.03,0.02,0.04
Luxembourg,5-17y,0.06,0.04,0.07
Malta,5-17y,0.04,0.03,0.06
Netherlands,5-17y,0.04,0.03,0.05
Norway,5-17y,0.05,0.04,0.06
Poland,5-17y,0.04,0.03,0.05
Portugal,5-17y,0.04,0.03,0.05
Romania,5-17y,0.06,0.05,0.07
Slovakia,5-17y,0.04,0.03,0.05
Slovenia,5-17y,0.03,0.02,0.05
Spain,5-17y,0.03,0.02,0.05
Sweden,5-17y,0.05,0.04,0.06
United Kingdom,5-17y,0.07,0.05,0.09
Austria,18-64y,0.04,0.02,0.05
Belgium,18-64y,0.05,0.04,0.06
Bulgaria,18-64y,0.05,0.03,0.06
Croatia,18-64y,0.04,0.02,0.05
Cyprus,18-64y,0.06,0.05,0.07
Czechia,18-64y,0.04,0.03,0.06
Denmark,18-64y,0.04,0.03,0.05
Estonia,18-64y,0.04,0.03,0.05
Finland,18-64y,0.01,0.0,0.02
France,18-64y,0.04,0.03,0.06
Germany,18-64y,0.03,0.01,0.04
Greece,18-64y,0.04,0.02,0.05
Hungary,18-64y,0.04,0.03,0.05
Ireland,18-64y,0.07,0.06,0.09
Italy,18-64y,0.04,0.02,0.05
Latvia,18-64y,0.03,0.02,0.05
Lithuania,18-64y,0.03,0.02,0.04
Luxembourg,18-64y,0.06,0.04,0.07
Malta,18-64y,0.04,0.03,0.06
Netherlands,18-64y,0.04,0.03,0.05
Norway,18-64y,0.05,0.04,0.06
Poland,18-64y,0.04,0.03,0.05
Portugal,18-64y,0.04,0.03,0.05
Romania,18-64y,0.06,0.05,0.07
Slovakia,18-64y,0.04,0.03,0.05
Slovenia,18-64y,0.03,0.02,0.05
Spain,18-64y,0.03,0.02,0.05
Sweden,18-64y,0.05,0.04,0.06
United Kingdom,18-64y,0.07,0.05,0.09
Austria,65-74y,0.69,0.51,0.87
Belgium,65-74y,0.62,0.45,0.8
Bulgaria,65-74y,0.59,0.42,0.77
Croatia,65-74y,0.53,0.35,0.7
Cyprus,65-74y,0.76,0.58,0.93
Czechia,65-74y,0.64,0.46,0.82
Denmark,65-74y,0.63,0.45,0.81
Estonia,65-74y,0.49,0.31,0.67
Finland,65-74y,0.09,-0.09,0.27
France,65-74y,0.7,0.53,0.88
Germany,65-74y,0.64,0.46,0.82
Greece,65-74y,0.48,0.3,0.66
Hungary,65-74y,0.67,0.49,0.85
Ireland,65-74y,0.92,0.74,1.1
Italy,65-74y,0.55,0.38,0.73
Latvia,65-74y,0.54,0.36,0.71
Lithuania,65-74y,0.57,0.39,0.75
Luxembourg,65-74y,1.02,0.84,1.2
Malta,65-74y,0.78,0.6,0.96
Netherlands,65-74y,0.58,0.4,0.76
Norway,65-74y,1.37,1.18,1.57
Poland,65-74y,0.7,0.53,0.88
Portugal,65-74y,0.51,0.33,0.68
Romania,65-74y,0.78,0.61,0.96
Slovakia,65-74y,0.85,0.68,1.03
Slovenia,65-74y,0.44,0.26,0.62
Spain,65-74y,0.58,0.4,0.76
Sweden,65-74y,0.63,0.45,0.81
United Kingdom,65-74y,0.77,0.46,1.09
Austria,75-84y,2.23,1.94,2.53
Belgium,75-84y,2.23,1.94,2.53
Bulgaria,75-84y,2.59,2.29,2.88
Croatia,75-84y,2.46,2.16,2.75
Cyprus,75-84y,2.53,2.23,2.82
Czechia,75-84y,2.3,2.0,2.59
Denmark,75-84y,2.19,1.89,2.49
Estonia,75-84y,2.28,1.99,2.58
Finland,75-84y,2.32,2.03,2.62
France,75-84y,1.9,1.6,2.19
Germany,75-84y,2.13,1.83,2.42
Greece,75-84y,2.45,2.15,2.74
Hungary,75-84y,2.33,2.04,2.63
Ireland,75-84y,2.42,2.13,2.72
Italy,75-84y,2.21,1.92,2.51
Latvia,75-84y,2.4,2.11,2.7
Lithuania,75-84y,2.35,2.05,2.64
Luxembourg,75-84y,2.14,1.84,2.44
Malta,75-84y,2.35,2.05,2.65
Netherlands,75-84y,1.53,1.23,1.83
Norway,75-84y,2.1,1.8,2.41
Poland,75-84y,2.21,1.91,2.51
Portugal,75-84y,2.1,1.8,2.4
Romania,75-84y,2.22,1.93,2.52
Slovakia,75-84y,2.43,2.13,2.72
Slovenia,75-84y,2.37,2.07,2.66
Spain,75-84y,1.82,1.52,2.11
Sweden,75-84y,2.11,1.81,2.41
United Kingdom,75-84y,2.31,1.89,2.74
Austria,85+y,2.86,2.02,3.7
Belgium,85+y,3.79,2.95,4.62
Bulgaria,85+y,3.3,2.46,4.14
Croatia,85+y,2.87,2.03,3.7
Cyprus,85+y,3.94,3.1,4.77
Czechia,85+y,2.89,2.05,3.72
Denmark,85+y,1.6,0.76,2.44
Estonia,85+y,2.87,2.03,3.71
Finland,85+y,1.12,0.28,1.96
France,85+y,3.01,2.18,3.85
Germany,85+y,2.1,1.26,2.94
Greece,85+y,3.1,2.27,3.94
Hungary,85+y,2.82,1.99,3.66
Ireland,85+y,3.37,2.54,4.21
Italy,85+y,2.31,1.47,3.14
Latvia,85+y,3.22,2.38,4.05
Lithuania,85+y,3.58,2.75,4.42
Luxembourg,85+y,3.82,2.99,4.66
Malta,85+y,2.64,1.8,3.49
Netherlands,85+y,3.02,2.18,3.86
Norway,85+y,3.42,2.56,4.27
Poland,85+y,3.38,2.54,4.21
Portugal,85+y,3.43,2.59,4.26
Romania,85+y,4.45,3.61,5.28
Slovakia,85+y,3.48,2.65,4.32
Slovenia,85+y,2.32,1.48,3.15
Spain,85+y,2.48,1.65,3.32
Sweden,85+y,2.58,1.74,3.42
United Kingdom,85+y,3.95,2.65,5.25
